predicted,targets
rec.autos,rec.autos
sci.electronics,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.graphics,comp.graphics
sci.space,sci.space
talk.politics.guns,talk.politics.guns
sci.med,sci.med
sci.electronics,comp.sys.ibm.pc.hardware
comp.os.ms-windows.misc,comp.os.ms-windows.misc
sci.electronics,comp.sys.mac.hardware
misc.forsale,rec.motorcycles
talk.religion.misc,talk.religion.misc
comp.sys.ibm.pc.hardware,comp.sys.mac.hardware
sci.space,sci.space
misc.forsale,misc.forsale
alt.atheism,alt.atheism
comp.graphics,comp.graphics
rec.autos,rec.autos
sci.electronics,sci.electronics
sci.electronics,comp.windows.x
talk.religion.misc,alt.atheism
rec.sport.hockey,rec.sport.hockey
sci.electronics,misc.forsale
sci.electronics,comp.os.ms-windows.misc
comp.sys.mac.hardware,comp.sys.mac.hardware
sci.electronics,comp.graphics
sci.electronics,sci.electronics
rec.sport.baseball,rec.sport.baseball
talk.religion.misc,soc.religion.christian
rec.autos,rec.autos
rec.autos,misc.forsale
sci.med,sci.med
sci.electronics,sci.electronics
talk.politics.mideast,talk.politics.mideast
talk.religion.misc,talk.politics.misc
rec.sport.hockey,rec.sport.hockey
rec.autos,rec.motorcycles
talk.politics.misc,sci.crypt
talk.politics.guns,rec.motorcycles
talk.politics.guns,talk.politics.guns
None - sports,rec.sport.baseball
sci.electronics,comp.sys.mac.hardware
sci.electronics,comp.sys.ibm.pc.hardware
rec.sport.baseball,rec.sport.baseball
rec.sport.baseball,rec.sport.baseball
sci.electronics,comp.sys.mac.hardware
sci.electronics,comp.sys.mac.hardware
rec.autos,rec.motorcycles
sci.electronics,sci.electronics
sci.space,sci.space
sci.electronics,comp.windows.x
soc.religion.christian,soc.religion.christian
comp.os.ms-windows.misc,comp.os.ms-windows.misc
sci.med,sci.med
talk.politics.mideast,talk.politics.mideast
sci.electronics,sci.crypt
sci.electronics,rec.autos
rec.sport.hockey,rec.sport.hockey
None - technology,comp.os.ms-windows.misc
sci.space,sci.space
sci.electronics,sci.electronics
sci.electronics,comp.windows.x
misc.forsale,comp.sys.mac.hardware
misc.forsale,misc.forsale
rec.autos,rec.autos
alt.atheism,alt.atheism
sci.electronics,sci.crypt
talk.politics.misc,talk.politics.guns
talk.religion.misc,alt.atheism
misc.forsale,misc.forsale
None - label,talk.politics.mideast
talk.politics.guns,rec.autos
sci.electronics,sci.electronics
rec.autos,rec.autos
sci.electronics,comp.sys.ibm.pc.hardware
sci.electronics,sci.electronics
sci.crypt,sci.crypt
rec.autos,rec.autos
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
talk.religion.misc,alt.atheism
talk.politics.misc,talk.politics.guns
sci.electronics,comp.graphics
misc.forsale,comp.os.ms-windows.misc
rec.autos,rec.autos
comp.graphics,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.os.ms-windows.misc
comp.graphics,comp.graphics
rec.sport.hockey,rec.sport.hockey
sci.electronics,sci.electronics
sci.electronics,sci.electronics
talk.politics.mideast,talk.politics.mideast
sci.electronics,sci.electronics
comp.os.ms-windows.misc,comp.os.ms-windows.misc
rec.motorcycles,rec.motorcycles
rec.autos,rec.motorcycles
None - military,talk.politics.misc
None - finance,comp.windows.x
talk.religion.misc,alt.atheism
comp.graphics,comp.graphics
misc.forsale,misc.forsale
sci.electronics,sci.electronics
rec.motorcycles,rec.motorcycles
sci.electronics,comp.sys.mac.hardware
talk.politics.mideast,talk.politics.mideast
sci.electronics,sci.electronics
sci.electronics,sci.electronics
sci.electronics,sci.electronics
sci.electronics,comp.graphics
misc.forsale,misc.forsale
talk.religion.misc,talk.politics.misc
sci.electronics,comp.sys.mac.hardware
sci.electronics,comp.sys.ibm.pc.hardware
None - sports,rec.sport.hockey
sci.electronics,rec.sport.baseball
talk.politics.mideast,alt.atheism
sci.electronics,sci.med
sci.electronics,sci.crypt
comp.graphics,comp.windows.x
sci.space,sci.space
talk.religion.misc,soc.religion.christian
rec.autos,rec.motorcycles
sci.electronics,comp.sys.mac.hardware
talk.religion.misc,soc.religion.christian
talk.religion.misc,soc.religion.christian
sci.electronics,comp.graphics
comp.sys.ibm.pc.hardware,alt.atheism
talk.politics.guns,talk.politics.guns
rec.sport.baseball,rec.sport.baseball
sci.electronics,rec.motorcycles
misc.forsale,misc.forsale
sci.med,sci.med
misc.forsale,misc.forsale
talk.politics.mideast,talk.politics.mideast
sci.space,sci.space
talk.religion.misc,alt.atheism
sci.electronics,rec.sport.baseball
comp.graphics,comp.graphics
comp.os.ms-windows.misc,comp.os.ms-windows.misc
talk.religion.misc,soc.religion.christian
sci.med,sci.med
